group	side	ckey	rawpath	value	site
sampler	S3_CLI骨架	sampler	sampler	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(export).sampler
parity	S3_CLI骨架	longitude_parity	longitude_parity	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(export).longitude_parity
coverage_output	S3_CLI骨架	coverage_output	coverage_output	该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)	lib/infrastructure/cli/session_commands.h#config_fields(export).coverage_output
output_mode	S3_CLI骨架	output_mode	output_mode	"surface_brightness"	lib/infrastructure/cli/session_commands.h#config_fields(export).output_mode
name	S3_CLI骨架	name	name	"ha"	lib/infrastructure/cli/session_commands.h#config_second_block_overrides.name
input_lights	S3_CLI骨架	input_lights	input_lights	["path/to/light3.fits"]	lib/infrastructure/cli/session_commands.h#config_second_block_overrides.input_lights
master_flat	S3_CLI骨架	master_flat	master_flat	"path/to/flat_ha.fits"	lib/infrastructure/cli/session_commands.h#config_second_block_overrides.master_flat
output_dir	S3_CLI骨架	output_dir	output_dir	"path/to/out/ha"	lib/infrastructure/cli/session_commands.h#config_second_block_overrides.output_dir
filter_passband	S3_CLI骨架	filter_passband	filter_passband	"Baader 7nm H-alpha"	lib/infrastructure/cli/session_commands.h#config_second_block_overrides.filter_passband
schema_version	S4_合同schema	schema_version	schema_version	const=1	eng/contracts/config/cli_modules_list.schema.json#/schema_version
kind	S4_合同schema	kind	kind	const="astrocs_modules_list"	eng/contracts/config/cli_modules_list.schema.json#/kind
units.kind	S4_合同schema	units.kind	units.kind	enum=["exe","runtime","io","module","provider"]	eng/contracts/config/cli_modules_list.schema.json#/units/items/kind
units.status	S4_合同schema	units.status	units.status	enum=["SKELETON","IMPLEMENTED"]	eng/contracts/config/cli_modules_list.schema.json#/units/items/status
verdict	S4_合同schema	verdict	verdict	enum=["PASS","FAIL"]	eng/contracts/config/cli_modules_list.schema.json#/verdict
schema_version	S4_合同schema	schema_version	schema_version	const=1	eng/contracts/config/cli_selftest.schema.json#/schema_version
kind	S4_合同schema	kind	kind	const="astrocs_selftest"	eng/contracts/config/cli_selftest.schema.json#/kind
checks.status	S4_合同schema	checks.status	checks.status	enum=["pass","fail","skipped"]	eng/contracts/config/cli_selftest.schema.json#/checks/items/status
verdict	S4_合同schema	verdict	verdict	enum=["PASS","FAIL"]	eng/contracts/config/cli_selftest.schema.json#/verdict
schema	S4_合同schema	manifest_schema	manifest_schema	const="astrocs.artifact-manifest/v1"	eng/contracts/data/artifact_manifest.schema.json#/manifest_schema
manifest_version	S4_合同schema	manifest_version	manifest_version	const=1	eng/contracts/data/artifact_manifest.schema.json#/manifest_version
schema_version	S4_合同schema	schema_version	schema_version	minimum=1	eng/contracts/data/artifact_manifest.schema.json#/schema_version
algorithm	S4_合同schema	algorithm	content_digest.algorithm	const="sha256"	eng/contracts/data/artifact_manifest.schema.json#/content_digest/algorithm
size	S4_合同schema	size	size	minimum=0;maximum=9223372036854775807	eng/contracts/data/artifact_manifest.schema.json#/size
phase	S4_合同schema	phase	run.phase	enum=["phase1","phase2","phase3"]	eng/contracts/data/artifact_manifest.schema.json#/run/phase
algorithm	S4_合同schema	algorithm	config_digest.algorithm	const="sha256"	eng/contracts/data/artifact_manifest.schema.json#/config_digest/algorithm
status	S4_合同schema	status	status	enum=["COMPLETE","INCOMPLETE","FAILED","CANCELLED","PENDING"]	eng/contracts/data/artifact_manifest.schema.json#/status
schema	S4_合同schema	exchange_schema	exchange_schema	const="astrocs.phase-product-exchange/v1"	eng/contracts/data/phase_product_exchange.schema.json#/exchange_schema
exchange_version	S4_合同schema	exchange_version	exchange_version	const=1	eng/contracts/data/phase_product_exchange.schema.json#/exchange_version
product_role	S4_合同schema	product_role	product_role	enum=["phase1_product_v1","phase2_mosaic_v1","phase3_planar_fits_v1"]	eng/contracts/data/phase_product_exchange.schema.json#/product_role
schema_version	S4_合同schema	schema_version	schema_version	minimum=1	eng/contracts/data/phase_product_exchange.schema.json#/schema_version
origin	S4_合同schema	origin	origin	enum=["astrocs","external_fixture"]	eng/contracts/data/phase_product_exchange.schema.json#/origin
schema	S4_合同schema	manifest_schema	artifact_manifest.manifest_schema	const="astrocs.artifact-manifest/v1"	eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/manifest_schema
manifest_version	S4_合同schema	manifest_version	artifact_manifest.manifest_version	const=1	eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/manifest_version
schema_version	S4_合同schema	schema_version	artifact_manifest.schema_version	minimum=1	eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/schema_version
algorithm	S4_合同schema	algorithm	artifact_manifest.content_digest.algorithm	const="sha256"	eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/content_digest/algorithm
artifact_manifest.size	S4_合同schema	artifact_manifest.size	artifact_manifest.size	minimum=0	eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/size
phase	S4_合同schema	phase	artifact_manifest.run.phase	enum=["phase1","phase2","phase3"]	eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/run/phase
algorithm	S4_合同schema	algorithm	artifact_manifest.config_digest.algorithm	const="sha256"	eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/config_digest/algorithm
artifact_manifest.status	S4_合同schema	artifact_manifest.status	artifact_manifest.status	enum=["COMPLETE","INCOMPLETE","FAILED","CANCELLED","PENDING"]	eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/status
product_role	S4_合同schema	product_role	product_role	const="phase1_product_v1"	eng/contracts/data/phase_product_exchange.schema.json#/if/product_role
type_id	S4_合同schema	type_id	type_id	const="astrocs.phase1.frame_hips.v1"	eng/contracts/data/phase_product_exchange.schema.json#/then/type_id
product_role	S4_合同schema	product_role	product_role	const="phase2_mosaic_v1"	eng/contracts/data/phase_product_exchange.schema.json#/else/if/product_role
type_id	S4_合同schema	type_id	type_id	const="astrocs.phase2.mosaic_hips.v1"	eng/contracts/data/phase_product_exchange.schema.json#/else/then/type_id
product_role	S4_合同schema	product_role	product_role	const="phase3_planar_fits_v1"	eng/contracts/data/phase_product_exchange.schema.json#/else/else/if/product_role
type_id	S4_合同schema	type_id	type_id	const="astrocs.phase3.planar_fits.v1"	eng/contracts/data/phase_product_exchange.schema.json#/else/else/then/type_id
role	S4_合同schema	role	role_binding.role	enum=["phase1_product_v1","phase2_mosaic_v1","phase3_planar_fits_v1"]	eng/contracts/data/phase_product_exchange.schema.json#/role_binding/items/role
type_id	S4_合同schema	type_id	role_binding.type_id	enum=["astrocs.phase1.frame_hips.v1","astrocs.phase2.mosaic_hips.v1","astrocs.phase3.planar_fits.v1"]	eng/contracts/data/phase_product_exchange.schema.json#/role_binding/items/type_id
registry_schema_version	S4_合同schema	registry_schema_version	role_binding.registry_schema_version	const=1	eng/contracts/data/phase_product_exchange.schema.json#/role_binding/items/registry_schema_version
