类型,符号或键,位点,现行值,登记单位,机判档,条文命中
具名,dh,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:681,0.5,未标注,③未见于条文面,
具名,SQRT_SQRT3,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1035,1.3160740129524924,未标注,③未见于条文面,
具名,D_EW_HALF_FACTOR,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1037,1.0,未标注,③未见于条文面,
具名,kMinRows,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1688,16,未标注,③未见于条文面,
具名,kMaxStripes,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1689,256,未标注,③未见于条文面,
具名,THRESH_60ARCSEC,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1897,60.0,未标注,③未见于条文面,
具名,tid,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1928,0,未标注,③未见于条文面,
具名,t,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:2259,0,未标注,③未见于条文面,
具名,FITS_BLOCK_SIZE,lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:21,2880,未标注,③未见于条文面,
具名,FITS_CARD_SIZE,lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:22,80,未标注,③未见于条文面,
具名,DEG2RAD,lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:361,0.017453292519943295769,未标注,③未见于条文面,
具名,HP_MAX_SNR_POINTS,lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:37,10000000,未标注,③未见于条文面,
具名,DEG2RAD,lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:439,0.017453292519943295769,未标注,③未见于条文面,
具名,NANOFLANN_NODE_ALIGNMENT,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:129,16,未标注,③未见于条文面,
具名,WORDSIZE,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:897,16,未标注,③未见于条文面,
具名,BLOCKSIZE,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:898,8192,未标注,③未见于条文面,
具名,count,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:1000,1,未标注,①条文含值,docs/algorithms/HIPS_WRITER.md:386 | DISP-HIPS-011 | 低 | hierarchy 空 acc（count 全 0 的父 cell）照写全 NaN tile（:
具名,UNROLL,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:1499,4,未标注,③未见于条文面,
具名,SAVE_MAGIC,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:1639,0,未标注,③未见于条文面,
