dx,dy,adrop,s0_4c_acos,s1_4c_stbl,s3_curve128_acos,s2_curve8,s2_curve32,s2_curve128,s2_curve512,oracle,r0,r1,r3,r2k8,r2k32,r2k128,r2k512,roracle,leafmax_err
-2.50,-6.50,9.401872e-13,9.401872e-13,9.401872e-13,9.401872e-13,9.401872e-13,9.401872e-13,9.401872e-13,9.401872e-13,9.401872e-13,4.296e-15,2.792e-15,4.726e-15,8.377e-15,4.511e-15,6.229e-15,5.370e-15,4.511e-15,8.483e-09
-2.50,-6.00,9.401750e-13,9.401750e-13,9.401750e-13,9.401750e-13,9.401750e-13,9.401750e-13,9.401750e-13,9.401750e-13,9.401750e-13,1.074e-15,3.437e-15,3.222e-15,1.933e-15,4.296e-15,1.074e-15,2.148e-16,1.933e-15,1.211e-08
-2.50,-5.50,9.401779e-13,9.401779e-13,9.401779e-13,9.401779e-13,9.401779e-13,9.401779e-13,9.401779e-13,9.401779e-13,9.401779e-13,1.074e-15,2.148e-15,6.444e-16,1.289e-15,2.148e-15,1.289e-15,1.074e-15,0.000e+00,1.106e-08
-2.50,-5.00,9.401813e-13,9.403062e-13,9.403042e-13,9.401812e-13,9.401832e-13,9.401814e-13,9.401813e-13,9.401813e-13,9.401813e-13,1.328e-04,1.308e-04,1.160e-07,2.044e-06,1.277e-07,7.983e-09,4.989e-10,2.363e-15,1.096e-08
-2.50,-4.50,9.401662e-13,9.402983e-13,9.403007e-13,9.401664e-13,9.401683e-13,9.401664e-13,9.401662e-13,9.401662e-13,9.401662e-13,1.405e-04,1.430e-04,1.356e-07,2.235e-06,1.397e-07,8.729e-09,5.456e-10,2.792e-15,1.334e-08
-2.50,-4.00,9.401894e-13,9.403276e-13,9.403272e-13,9.401894e-13,9.401915e-13,9.401895e-13,9.401894e-13,9.401894e-13,9.401894e-13,1.471e-04,1.467e-04,1.707e-08,2.289e-06,1.431e-07,8.942e-09,5.589e-10,3.437e-15,1.624e-08
-2.50,-3.50,9.401941e-13,9.403179e-13,9.403155e-13,9.401939e-13,9.401960e-13,9.401942e-13,9.401941e-13,9.401941e-13,9.401941e-13,1.317e-04,1.291e-04,1.511e-07,2.010e-06,1.256e-07,7.851e-09,4.907e-10,3.652e-15,2.252e-08
-2.50,-3.00,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,2.363e-15,1.074e-15,2.148e-15,1.504e-15,4.296e-16,2.148e-15,6.444e-16,1.504e-15,2.562e-08
-2.50,-2.50,9.401817e-13,9.401817e-13,9.401817e-13,9.401817e-13,9.401817e-13,9.401817e-13,9.401817e-13,9.401817e-13,9.401817e-13,1.289e-15,1.933e-15,2.148e-16,1.504e-15,1.074e-15,2.148e-15,1.504e-15,4.296e-16,3.593e-08
-2.50,-2.00,9.401628e-13,9.400942e-13,9.400910e-13,9.401626e-13,9.401616e-13,9.401628e-13,9.401628e-13,9.401628e-13,9.401628e-13,7.301e-05,7.644e-05,2.266e-07,1.289e-06,8.067e-08,5.043e-09,3.152e-10,8.592e-16,5.511e-08
