r_px,az_deg,ra_deg,dec_deg,v0,rec1,oracle,seg_per_leaf
24.0000,67.5,133.99999999,89.99866667,7.243529e-06,7.057072e-09,2.427219e-14,139.2
24.0000,90.0,156.50000000,89.99866667,2.179607e-06,4.170343e-08,7.732725e-15,141.5
24.0000,112.5,179.00000001,89.99866667,1.503587e-15,4.081164e-15,4.510760e-15,139.6
24.0000,135.0,201.50000000,89.99866667,8.591922e-16,4.295961e-15,1.954662e-14,140.8
24.0000,157.5,223.99999999,89.99866667,7.243529e-06,7.057123e-09,8.054929e-14,139.2
24.0000,180.0,246.50000000,89.99866667,2.179607e-06,4.170346e-08,9.665907e-15,140.4
24.0000,202.5,269.00000001,89.99866667,3.866366e-15,2.792375e-15,2.147981e-15,139.4
24.0000,225.0,291.50000000,89.99866667,1.288788e-15,6.229144e-15,2.190940e-14,140.2
24.0000,247.5,313.99999999,89.99866667,7.243529e-06,7.057036e-09,2.491658e-14,139.2
24.0000,270.0,336.50000000,89.99866667,2.179607e-06,4.170342e-08,1.009550e-14,140.1
24.0000,292.5,359.00000001,89.99866667,4.295962e-16,2.792375e-15,3.436770e-15,139.3
24.0000,315.0,21.50000000,89.99866667,5.219593e-14,3.264931e-14,2.341299e-14,139.9
24.0000,337.5,43.99999999,89.99866667,7.243529e-06,7.057121e-09,8.205288e-14,139.2
32.0000,0.0,66.50000000,89.99822222,7.045372e-14,4.596676e-14,7.410529e-14,119.3
32.0000,22.5,89.00000001,89.99822222,1.267311e-14,1.138432e-14,1.610989e-14,124.6
32.0000,45.0,111.50000000,89.99822222,1.997625e-14,1.503589e-15,2.620541e-14,128.2
32.0000,67.5,133.99999999,89.99822222,9.966651e-14,1.220056e-13,4.381890e-14,127.3
32.0000,90.0,156.50000000,89.99822222,3.630085e-14,4.167080e-14,6.207660e-14,125.7
32.0000,112.5,179.00000001,89.99822222,1.439150e-14,1.288791e-15,1.031033e-14,126.4
32.0000,135.0,201.50000000,89.99822222,4.725566e-14,1.847267e-14,2.147984e-16,127.7
32.0000,157.5,223.99999999,89.99822222,5.584761e-14,5.327003e-14,4.575208e-14,127.3
32.0000,180.0,246.50000000,89.99822222,1.583061e-13,1.318859e-13,1.950365e-13,126.4
32.0000,202.5,269.00000001,89.99822222,1.288791e-15,4.725567e-15,8.591941e-16,126.7
32.0000,225.0,291.50000000,89.99822222,2.405742e-14,3.264936e-14,6.937989e-14,127.5
32.0000,247.5,313.99999999,89.99822222,2.094286e-13,1.127692e-13,1.327455e-13,127.3
32.0000,270.0,336.50000000,89.99822222,2.169459e-14,2.040580e-14,1.589505e-14,126.6
32.0000,292.5,359.00000001,89.99822222,8.806739e-15,4.295970e-15,2.577582e-15,126.9
32.0000,315.0,21.50000000,89.99822222,4.081170e-14,2.233904e-14,2.319823e-14,127.5
32.0000,337.5,43.99999999,89.99822222,9.043018e-14,1.473518e-13,6.272117e-14,127.3
64.0000,0.0,66.50000000,89.99644444,4.119832e-13,3.952289e-13,6.963762e-13,80.0
64.0000,22.5,89.00000000,89.99644444,1.482107e-14,4.510761e-15,9.236321e-15,104.8
64.0000,45.0,111.50000000,89.99644444,1.550843e-13,2.040582e-13,1.290937e-13,95.6
64.0000,67.5,134.00000000,89.99644444,2.285452e-13,5.380694e-13,5.589048e-13,87.8
64.0000,90.0,156.50000000,89.99644444,1.643207e-13,4.790003e-14,2.571136e-13,86.2
64.0000,112.5,179.00000000,89.99644444,1.847264e-14,1.159910e-14,4.510761e-15,93.5
64.0000,135.0,201.50000000,89.99644444,4.783555e-13,4.622456e-13,4.315295e-13,91.2
64.0000,157.5,224.00000000,89.99644444,5.079976e-13,4.691192e-13,5.350622e-13,87.9
64.0000,180.0,246.50000000,89.99644444,4.246563e-13,3.874962e-13,6.581421e-13,87.0
64.0000,202.5,269.00000000,89.99644444,2.577578e-15,5.155156e-15,1.546547e-14,91.3
64.0000,225.0,291.50000000,89.99644444,5.851102e-13,5.165896e-13,6.089528e-13,90.0
64.0000,247.5,314.00000000,89.99644444,1.736858e-12,1.728481e-12,2.036072e-12,87.9
64.0000,270.0,336.50000000,89.99644444,2.362782e-13,2.199535e-13,2.476625e-13,87.3
64.0000,292.5,359.00000000,89.99644444,4.940358e-15,1.589506e-14,2.019103e-14,90.4
64.0000,315.0,21.50000000,89.99644444,1.082583e-13,7.732733e-15,7.346097e-14,89.5
64.0000,337.5,44.00000000,89.99644444,7.706958e-13,7.999083e-13,5.584752e-13,87.9
128.0000,0.0,66.50000000,89.99288889,1.563060e-08,4.291729e-09,4.184267e-13,67.0
128.0000,22.5,89.00000000,89.99288889,1.043920e-13,6.272110e-14,1.851561e-13,66.5
128.0000,45.0,111.50000000,89.99288889,5.000504e-13,2.676387e-13,2.897629e-13,68.3
128.0000,67.5,134.00000000,89.99288889,1.234875e-12,1.816979e-12,1.382012e-12,67.3
128.0000,90.0,156.50000000,89.99288889,1.562957e-08,4.292897e-09,5.161599e-13,67.2
128.0000,112.5,179.00000000,89.99288889,9.945161e-14,7.947537e-15,9.043008e-14,67.0
128.0000,135.0,201.50000000,89.99288889,3.608611e-14,5.150863e-13,2.431517e-13,67.7
128.0000,157.5,224.00000000,89.99288889,1.735785e-12,2.721924e-12,1.388241e-12,67.3
128.0000,180.0,246.50000000,89.99288889,1.563031e-08,4.291713e-09,4.042501e-13,67.3
128.0000,202.5,269.00000000,89.99288889,1.890225e-14,3.093095e-14,1.073991e-14,67.1
128.0000,225.0,291.50000000,89.99288889,7.902429e-13,3.692383e-13,1.353659e-12,67.6
128.0000,247.5,314.00000000,89.99288889,2.720420e-12,2.407674e-12,2.518295e-12,67.3
128.0000,270.0,336.50000000,89.99288889,1.562891e-08,4.293125e-09,7.859463e-13,67.3
128.0000,292.5,359.00000000,89.99288889,3.973768e-14,5.735114e-14,4.403365e-14,67.2
128.0000,315.0,21.50000000,89.99288889,5.670675e-14,5.058500e-13,2.620539e-13,67.5
128.0000,337.5,44.00000000,89.99288889,4.420764e-12,2.698296e-12,3.634602e-12,67.3
256.0000,0.0,66.50000000,89.98577778,8.097893e-13,2.515932e-12,4.456634e-12,40.0
256.0000,22.5,89.00000000,89.98577778,3.896440e-13,1.497144e-13,3.340113e-13,53.1
256.0000,45.0,111.50000000,89.98577778,1.573827e-12,5.070097e-12,8.656368e-14,48.7
256.0000,67.5,134.00000000,89.98577778,2.901280e-12,5.955711e-12,8.056008e-12,44.5
256.0000,90.0,156.50000000,89.98577778,5.992656e-12,3.608610e-13,7.182853e-13,43.6
256.0000,112.5,179.00000000,89.98577778,2.178054e-13,1.168502e-13,1.078287e-13,47.3
256.0000,135.0,201.50000000,89.98577778,3.814172e-12,7.380467e-13,1.443874e-12,46.3
256.0000,157.5,224.00000000,89.98577778,5.829625e-12,6.980299e-12,8.570235e-12,44.5
256.0000,180.0,246.50000000,89.98577778,1.541822e-12,4.295965e-14,1.594877e-12,44.0
256.0000,202.5,269.00000000,89.98577778,3.288561e-13,3.956584e-13,3.065171e-13,46.2
256.0000,225.0,291.50000000,89.98577778,2.308222e-12,5.053128e-12,4.199305e-12,45.6
256.0000,247.5,314.00000000,89.98577778,2.286527e-12,4.126274e-13,4.572196e-12,44.5
256.0000,270.0,336.50000000,89.98577778,1.377931e-12,5.047758e-14,3.280828e-12,44.1
256.0000,292.5,359.00000000,89.98577778,6.336548e-14,3.179014e-14,1.093323e-13,45.7
256.0000,315.0,21.50000000,89.98577778,7.528893e-12,9.422339e-12,7.846364e-12,45.3
256.0000,337.5,44.00000000,89.98577778,1.260651e-12,8.145150e-13,1.498218e-12,44.5
512.0000,0.0,66.50000000,89.97155556,6.352444e-12,1.640629e-12,7.481209e-12,36.0
512.0000,22.5,89.00000000,89.97155556,1.477812e-13,9.736806e-13,9.936569e-13,35.0
512.0000,45.0,111.50000000,89.97155556,2.948742e-09,9.331027e-10,1.660176e-12,35.4
512.0000,67.5,134.00000000,89.97155556,1.601486e-08,2.453871e-10,1.440738e-11,34.5
512.0000,90.0,156.50000000,89.97155556,2.373306e-12,3.355364e-12,9.622963e-14,34.8
512.0000,112.5,179.00000000,89.97155556,6.871397e-13,1.005686e-12,9.045156e-13,34.7
512.0000,135.0,201.50000000,89.97155556,2.943416e-09,9.309616e-10,2.008794e-12,34.9
512.0000,157.5,224.00000000,89.97155556,1.598007e-08,1.917032e-10,5.441549e-11,34.5
512.0000,180.0,246.50000000,89.97155556,7.588179e-12,1.035070e-11,1.435733e-11,34.7
512.0000,202.5,269.00000000,89.97155556,4.085463e-13,7.810066e-13,2.298342e-13,34.6
512.0000,225.0,291.50000000,89.97155556,2.968700e-09,9.447265e-10,1.588541e-11,34.7
512.0000,247.5,314.00000000,89.97155556,1.603569e-08,2.402572e-10,2.304635e-11,34.5
512.0000,270.0,336.50000000,89.97155556,2.799681e-12,4.055177e-12,3.544816e-12,34.6
512.0000,292.5,359.00000000,89.97155556,8.448016e-13,1.221773e-12,8.291214e-13,34.6
512.0000,315.0,21.50000000,89.97155556,2.955611e-09,9.357320e-10,8.512242e-12,34.7
512.0000,337.5,44.00000000,89.97155556,1.603474e-08,2.673010e-10,4.051310e-12,34.5
1024.0000,0.0,66.50000000,89.94311113,7.812588e-11,1.034685e-10,9.658889e-11,20.0
1024.0000,22.5,89.00000000,89.94311113,6.836608e-12,6.177606e-12,7.650264e-12,26.9
1024.0000,45.0,111.50000000,89.94311113,6.589763e-10,1.454901e-10,6.427030e-11,24.7
1024.0000,67.5,134.00000000,89.94311113,1.894850e-10,1.755203e-10,2.145068e-10,22.5
1024.0000,90.0,156.50000000,89.94311113,1.052219e-10,9.663099e-11,9.281639e-11,22.0
1024.0000,112.5,179.00000000,89.94311113,8.589793e-12,8.479601e-12,9.327841e-12,24.0
1024.0000,135.0,201.50000000,89.94311113,6.533952e-10,1.527984e-10,7.671314e-11,23.4
1024.0000,157.5,224.00000000,89.94311113,1.838121e-10,1.509546e-10,2.177176e-10,22.5
1024.0000,180.0,246.50000000,89.94311113,1.020974e-10,1.066080e-10,1.152826e-10,22.2
1024.0000,202.5,269.00000000,89.94311113,4.178905e-12,4.929411e-12,7.602579e-12,23.4
1024.0000,225.0,291.50000000,89.94311113,6.681409e-10,1.477528e-10,8.800038e-11,23.1
1024.0000,247.5,314.00000000,89.94311113,4.178239e-11,1.246218e-11,1.044844e-11,22.5
1024.0000,270.0,336.50000000,89.94311113,6.279227e-11,5.897939e-11,5.935893e-11,22.3
1024.0000,292.5,359.00000000,89.94311113,4.583801e-12,5.661445e-12,5.018982e-12,23.1
1024.0000,315.0,21.50000000,89.94311113,6.321804e-10,1.251599e-10,5.914563e-11,22.9
1024.0000,337.5,44.00000000,89.94311113,9.586544e-11,8.362794e-11,9.902169e-11,22.5
