dx,dy,adrop,sum_prod,sum_a0,rel_prod,rel_a0,bitdiff_leaves
-6.00,-1.50,9.401761e-13,9.401761416445e-13,9.401761416446e-13,1.0010e-13,1.0740e-15,0
-6.00,-1.00,9.401729e-13,9.401363165853e-13,9.401363165853e-13,3.8884e-05,3.8884e-05,0
-6.00,-0.50,9.401736e-13,9.401736293067e-13,9.401736293068e-13,1.0761e-13,2.5131e-14,0
-6.00,0.00,9.401739e-13,9.401739430733e-13,9.401739430734e-13,1.0504e-13,1.0310e-14,0
-6.00,0.50,9.401736e-13,9.402302444208e-13,9.402302444208e-13,6.0218e-05,6.0218e-05,0
-6.00,1.00,9.401729e-13,9.402586134203e-13,9.402586134204e-13,9.1195e-05,9.1195e-05,0
-6.00,1.50,9.401761e-13,9.401761416490e-13,9.401761416490e-13,1.0955e-13,3.4797e-14,0
-6.00,2.00,9.401758e-13,9.402683388377e-13,9.402683388378e-13,9.8439e-05,9.8439e-05,0
-6.00,2.50,9.401750e-13,9.401749898530e-13,9.401749898531e-13,1.1878e-13,1.1170e-14,0
-6.00,3.00,9.401739e-13,9.402566314285e-13,9.402566314286e-13,8.8049e-05,8.8049e-05,0
-6.00,3.50,9.401725e-13,9.401724734227e-13,9.401724734228e-13,9.1505e-14,1.9117e-14,0
-6.00,4.00,9.401709e-13,9.402291367049e-13,9.402291367050e-13,6.1892e-05,6.1892e-05,0
-6.00,4.50,9.401783e-13,9.401783365414e-13,9.401783365415e-13,1.0031e-13,3.5871e-14,0
-6.00,5.00,9.401769e-13,9.401769109416e-13,9.401769109417e-13,1.4134e-13,3.2220e-15,0
-6.00,5.50,9.401754e-13,9.402006989558e-13,9.402006989559e-13,2.6930e-05,2.6930e-05,0
-6.00,6.00,9.401738e-13,9.401738450634e-13,9.401738450635e-13,1.2093e-13,6.8091e-14,0
-6.00,6.50,9.401723e-13,9.401722948224e-13,9.401722948226e-13,1.0933e-13,9.2364e-15,0
-6.00,7.00,9.401800e-13,9.401759322850e-13,9.401759322851e-13,4.2916e-06,4.2916e-06,0
-6.00,7.50,9.401784e-13,9.401783734964e-13,9.401783734965e-13,1.3103e-13,1.2888e-14,0
-6.00,8.00,9.401768e-13,9.401768154753e-13,9.401768154754e-13,9.9452e-14,1.5251e-14,0
-5.50,-8.00,9.401781e-13,9.402098238494e-13,9.402098238494e-13,3.3754e-05,3.3754e-05,0
-5.50,-7.50,9.401799e-13,9.401798643721e-13,9.401798643722e-13,1.3403e-13,4.2960e-16,0
-5.50,-7.00,9.401719e-13,9.401718617989e-13,9.401718617991e-13,1.3489e-13,7.8187e-14,0
-5.50,-6.50,9.401736e-13,9.402050195373e-13,9.402050195373e-13,3.3421e-05,3.3421e-05,0
-5.50,-6.00,9.401754e-13,9.402006989462e-13,9.402006989463e-13,2.6930e-05,2.6930e-05,0
-5.50,-5.50,9.401772e-13,9.401772316868e-13,9.401772316869e-13,1.0010e-13,8.5919e-15,0
-5.50,-5.00,9.401791e-13,9.401790624979e-13,9.401790624980e-13,1.1212e-13,1.3103e-14,0
-5.50,-4.50,9.401809e-13,9.401808873817e-13,9.401808873819e-13,1.2458e-13,8.5919e-16,0
-5.50,-4.00,9.401826e-13,9.401418899485e-13,9.401418899486e-13,4.3255e-05,4.3255e-05,0
-5.50,-3.50,9.401747e-13,9.401746939752e-13,9.401746939753e-13,9.9452e-14,8.5920e-16,0
-5.50,-3.00,9.401764e-13,9.401764438941e-13,9.401764438942e-13,1.0826e-13,6.6588e-15,0
-5.50,-2.50,9.401779e-13,9.401779444762e-13,9.401779444763e-13,1.0955e-13,2.7924e-15,0
-5.50,-2.00,9.401791e-13,9.401790561820e-13,9.401790561821e-13,1.0160e-13,8.5919e-16,0
-5.50,-1.50,9.401743e-13,9.400688703794e-13,9.400688703795e-13,1.1216e-04,1.1216e-04,0
-5.50,-1.00,9.401759e-13,9.401758558892e-13,9.401758558893e-13,1.0611e-13,1.5036e-15,0
-5.50,-0.50,9.401769e-13,9.401769230965e-13,9.401769230967e-13,1.0203e-13,7.3031e-15,0
-5.50,0.00,9.401772e-13,9.401772179561e-13,9.401772179562e-13,1.1148e-13,1.3317e-14,0
-5.50,0.50,9.401769e-13,9.402557289323e-13,9.402557289323e-13,8.3820e-05,8.3820e-05,0
-5.50,1.00,9.401759e-13,9.402853848455e-13,9.402853848456e-13,1.1650e-04,1.1650e-04,0
-5.50,1.50,9.401743e-13,9.401743193911e-13,9.401743193912e-13,1.0804e-13,9.4512e-15,0
-5.50,2.00,9.401791e-13,9.402880971385e-13,9.402880971386e-13,1.1598e-04,1.1598e-04,0
-5.50,2.50,9.401779e-13,9.401779444839e-13,9.401779444840e-13,9.1074e-14,2.1695e-14,0
-5.50,3.00,9.401764e-13,9.402599979058e-13,9.402599979059e-13,8.8871e-05,8.8871e-05,0
-5.50,3.50,9.401747e-13,9.401746939842e-13,9.401746939843e-13,1.1148e-13,4.5108e-15,0
-5.50,4.00,9.401826e-13,9.402371160706e-13,9.402371160707e-13,5.8030e-05,5.8030e-05,0
-5.50,4.50,9.401809e-13,9.401808873914e-13,9.401808873915e-13,9.1074e-14,1.8473e-14,0
-5.50,5.00,9.401791e-13,9.401790625076e-13,9.401790625077e-13,1.0654e-13,1.2888e-15,0
-5.50,5.50,9.401772e-13,9.401772316966e-13,9.401772316967e-13,1.0869e-13,2.1480e-14,0
-5.50,6.00,9.401754e-13,9.401823017303e-13,9.401823017304e-13,7.3618e-06,7.3618e-06,0
-5.50,6.50,9.401736e-13,9.401735979485e-13,9.401735979487e-13,1.0181e-13,1.8258e-14,0
-5.50,7.00,9.401719e-13,9.401718618085e-13,9.401718618086e-13,1.0912e-13,1.3318e-14,0
-5.50,7.50,9.401799e-13,9.401600610403e-13,9.401600610403e-13,2.1063e-05,2.1063e-05,0
-5.50,8.00,9.401781e-13,9.401780891254e-13,9.401780891256e-13,1.1664e-13,2.5131e-14,0
-5.00,-8.00,9.401793e-13,9.401792809003e-13,9.401792809004e-13,7.4320e-14,7.7327e-15,0
-5.00,-7.50,9.401813e-13,9.401812821870e-13,9.401812821871e-13,1.0289e-13,4.7255e-15,0
-5.00,-7.00,9.401834e-13,9.401833941346e-13,9.401833941347e-13,1.0547e-13,2.1265e-14,0
-5.00,-6.50,9.401748e-13,9.402148640248e-13,9.402148640249e-13,4.2585e-05,4.2585e-05,0
-5.00,-6.00,9.401769e-13,9.401769109315e-13,9.401769109316e-13,1.2158e-13,6.6587e-15,0
-5.00,-5.50,9.401791e-13,9.401790624972e-13,9.401790624973e-13,1.1148e-13,1.0525e-14,0
-5.00,-5.00,9.401813e-13,9.401813149523e-13,9.401813149524e-13,1.1298e-13,1.8902e-14,0
-5.00,-4.50,9.401835e-13,9.401816620115e-13,9.401816620116e-13,1.9959e-06,1.9959e-06,0
-5.00,-4.00,9.401747e-13,9.401747006622e-13,9.401747006623e-13,1.0890e-13,7.9476e-15,0
-5.00,-3.50,9.401770e-13,9.401770328292e-13,9.401770328293e-13,1.0804e-13,4.2960e-16,0
-5.00,-3.00,9.401793e-13,9.400738238807e-13,9.400738238808e-13,1.1216e-04,1.1216e-04,0
-5.00,-2.50,9.401813e-13,9.399837547758e-13,9.399837547759e-13,2.1009e-04,2.1009e-04,0
-5.00,-2.00,9.401829e-13,9.401828584426e-13,9.401828584427e-13,1.0310e-13,2.5776e-15,0
-5.00,-1.50,9.401838e-13,9.401837951629e-13,9.401837951630e-13,1.0976e-13,6.8735e-15,0
-5.00,-1.00,9.401794e-13,9.401794326502e-13,9.401794326503e-13,1.0568e-13,9.8807e-15,0
-5.00,-0.50,9.401807e-13,9.401806972466e-13,9.401806972467e-13,9.7948e-14,9.2363e-15,0
-5.00,0.00,9.401812e-13,9.401812484432e-13,9.401812484433e-13,1.0095e-13,5.3699e-15,0
-5.00,0.50,9.401807e-13,9.401806972489e-13,9.401806972490e-13,1.0010e-13,2.3628e-15,0
-5.00,1.00,9.401794e-13,9.401794326547e-13,9.401794326548e-13,9.5155e-14,7.0883e-15,0
-5.00,1.50,9.401838e-13,9.403158578329e-13,9.403158578330e-13,1.4046e-04,1.4046e-04,0
-5.00,2.00,9.401829e-13,9.401828584504e-13,9.401828584505e-13,1.1900e-13,6.4439e-15,0
-5.00,2.50,9.401813e-13,9.403061693108e-13,9.403061693109e-13,1.3284e-04,1.3284e-04,0
-5.00,3.00,9.401793e-13,9.401792728967e-13,9.401792728968e-13,9.2578e-14,1.6325e-14,0
-5.00,3.50,9.401770e-13,9.402627719826e-13,9.402627719827e-13,9.1195e-05,9.1195e-05,0
-5.00,4.00,9.401747e-13,9.401747006728e-13,9.401747006729e-13,9.2793e-14,2.3628e-14,0
-5.00,4.50,9.401835e-13,9.402134050054e-13,9.402134050054e-13,3.1767e-05,3.1767e-05,0
-5.00,5.00,9.401813e-13,9.401813149631e-13,9.401813149631e-13,1.1599e-13,4.4893e-14,0
-5.00,5.50,9.401791e-13,9.401790625079e-13,9.401790625080e-13,1.1341e-13,9.8807e-15,0
-5.00,6.00,9.401769e-13,9.401617575543e-13,9.401617575543e-13,1.6118e-05,1.6118e-05,0
-5.00,6.50,9.401748e-13,9.401596732141e-13,9.401596732142e-13,1.6118e-05,1.6118e-05,0
-5.00,7.00,9.401834e-13,9.401833941448e-13,9.401833941449e-13,1.0289e-13,7.7327e-15,0
-5.00,7.50,9.401813e-13,9.401436091719e-13,9.401436091719e-13,4.0070e-05,4.0070e-05,0
-5.00,8.00,9.401793e-13,9.401416078849e-13,9.401416078850e-13,4.0070e-05,4.0070e-05,0
-4.50,-8.00,9.401744e-13,9.402176442217e-13,9.402176442218e-13,4.6031e-05,4.6031e-05,0
-4.50,-7.50,9.401760e-13,9.402173285255e-13,9.402173285255e-13,4.3969e-05,4.3969e-05,0
-4.50,-7.00,9.401764e-13,9.401764498153e-13,9.401764498154e-13,9.0215e-14,8.1623e-15,0
-4.50,-6.50,9.401785e-13,9.401785382329e-13,9.401785382330e-13,1.0375e-13,2.0835e-14,0
-4.50,-6.00,9.401783e-13,9.401783365307e-13,9.401783365308e-13,1.0461e-13,1.5680e-14,0
-4.50,-5.50,9.401809e-13,9.401808873803e-13,9.401808873804e-13,1.0998e-13,8.1623e-15,0
-4.50,-5.00,9.401835e-13,9.402134049938e-13,9.402134049939e-13,3.1767e-05,3.1767e-05,0
-4.50,-4.50,9.401725e-13,9.401724656272e-13,9.401724656273e-13,1.1298e-13,2.4917e-14,0
-4.50,-4.00,9.401744e-13,9.401743691081e-13,9.401743691082e-13,1.1341e-13,3.0072e-15,0
-4.50,-3.50,9.401640e-13,9.401353377970e-13,9.401353377971e-13,3.0520e-05,3.0520e-05,0
-4.50,-3.00,9.401652e-13,9.400597893933e-13,9.400597893934e-13,1.1216e-04,1.1216e-04,0
-4.50,-2.50,9.401662e-13,9.401662229664e-13,9.401662229665e-13,1.0869e-13,1.2888e-15,0
-4.50,-2.00,9.401668e-13,9.401668230110e-13,9.401668230112e-13,1.1041e-13,6.4440e-16,0
-4.50,-1.50,9.401754e-13,9.401753695911e-13,9.401753695912e-13,1.0504e-13,1.7184e-15,0
-4.50,-1.00,9.401759e-13,9.401759157170e-13,9.401759157171e-13,1.0461e-13,1.0740e-15,0
-4.50,-0.50,9.401854e-13,9.401853981666e-13,9.401853981667e-13,1.0912e-13,1.2673e-14,0
-4.50,0.00,9.401859e-13,9.401858998175e-13,9.401858998177e-13,1.0718e-13,6.2291e-15,0
