path,module,status,rc,elapsed_sec,findings,errors
lib/healpix_db/healpix_browser_qt/core/healpix_math.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/core/hips_browser_backend.cpp,healpix_browser,PASS,0,8.57,0,
lib/healpix_db/healpix_browser_qt/core/hips_browser_backend.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/core/hips_sky_view.cpp,healpix_browser,PASS,0,8.35,0,
lib/healpix_db/healpix_browser_qt/core/hips_sky_view.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/core/logger.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/core/stf_engine.cpp,healpix_browser,PASS,0,4.5,0,
lib/healpix_db/healpix_browser_qt/core/stf_engine.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/include/healpix_browser_core.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/widgets/abstract_view.cpp,healpix_browser,PASS,0,9.0,0,
lib/healpix_db/healpix_browser_qt/widgets/abstract_view.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/widgets/hips_view.cpp,healpix_browser,PASS,0,5.39,0,
lib/healpix_db/healpix_browser_qt/widgets/hips_view.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_browser_qt/widgets/sphere_view.cpp,healpix_browser,PASS,0,5.36,0,
lib/healpix_db/healpix_browser_qt/widgets/sphere_view.h,healpix_browser,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_drizzle/astro_sphere_sink.cpp,healpix_drizzle,PASS,0,9.12,0,
lib/healpix_db/healpix_drizzle/astro_sphere_sink.h,healpix_drizzle,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_drizzle/drizzle_engine.cpp,healpix_drizzle,PASS,0,27.77,0,
lib/healpix_db/healpix_drizzle/drizzle_engine.h,healpix_drizzle,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_drizzle/fits_reader.cpp,healpix_drizzle,FINDINGS,0,6.22,1,
lib/healpix_db/healpix_drizzle/fits_reader.h,healpix_drizzle,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_drizzle/healpix_core.cpp,healpix_drizzle,PASS,0,11.55,0,
lib/healpix_db/healpix_drizzle/healpix_core.h,healpix_drizzle,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_drizzle/hp_drizzle_api.cpp,healpix_drizzle,PASS,0,6.92,0,
lib/healpix_db/healpix_drizzle/hp_drizzle_api.h,healpix_drizzle,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_drizzle/nanoflann.hpp,healpix_drizzle,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_drizzle/poly_clip.cpp,healpix_drizzle,PASS,0,0.82,0,
lib/healpix_db/healpix_drizzle/poly_clip.h,healpix_drizzle,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_drizzle/reverse_drizzle.cpp,healpix_drizzle,PASS,0,8.61,0,
lib/healpix_db/healpix_drizzle/reverse_drizzle.h,healpix_drizzle,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_drizzle/snr_evaluator.cpp,healpix_drizzle,PASS,0,14.3,0,
lib/healpix_db/healpix_drizzle/snr_evaluator.h,healpix_drizzle,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_drizzle/spherical_overlap.cpp,healpix_drizzle,PASS,0,23.2,0,
lib/healpix_db/healpix_drizzle/spherical_overlap.h,healpix_drizzle,HEADER_VIA_TU,-2,0.0,0,
lib/healpix_db/healpix_drizzle/wcs_sip.cpp,healpix_drizzle,PASS,0,0.78,0,
lib/healpix_db/healpix_drizzle/wcs_sip.h,healpix_drizzle,HEADER_VIA_TU,-2,0.0,0,
lib/orchestrator/cpp/include/admission_controller.h,orchestrator,HEADER_VIA_TU,-2,0.0,0,
lib/orchestrator/cpp/include/checkpoint.h,orchestrator,HEADER_VIA_TU,-2,0.0,0,
lib/orchestrator/cpp/include/cli_command.h,orchestrator,HEADER_VIA_TU,-2,0.0,0,
lib/orchestrator/cpp/include/dll_loader.h,orchestrator,HEADER_VIA_TU,-2,0.0,0,
lib/orchestrator/cpp/include/json_config.h,orchestrator,HEADER_VIA_TU,-2,0.0,0,
lib/orchestrator/cpp/include/logger.h,orchestrator,HEADER_VIA_TU,-2,0.0,0,
lib/orchestrator/cpp/include/orchestrator.h,orchestrator,HEADER_VIA_TU,-2,0.0,0,
lib/orchestrator/cpp/include/resource_monitor.h,orchestrator,HEADER_VIA_TU,-2,0.0,0,
lib/orchestrator/cpp/include/spill_manager.h,orchestrator,HEADER_VIA_TU,-2,0.0,0,
lib/orchestrator/cpp/src/checkpoint.cpp,orchestrator,PASS,0,17.85,0,
lib/orchestrator/cpp/src/cli_command.cpp,orchestrator,PASS,0,6.3,0,
lib/orchestrator/cpp/src/dll_loader.cpp,orchestrator,PASS,0,8.55,0,
lib/orchestrator/cpp/src/json_config.cpp,orchestrator,PASS,0,9.47,0,
lib/orchestrator/cpp/src/logger.cpp,orchestrator,PASS,0,4.26,0,
lib/orchestrator/cpp/src/main.cpp,orchestrator,PASS,0,9.52,0,
lib/orchestrator/cpp/src/orchestrator.cpp,orchestrator,FINDINGS,0,48.8,1,
lib/phase2/include/astro/phase2/acr_kernels.h,phase2,HEADER_VIA_TU,-2,0.0,0,
lib/phase2/include/astro/phase2/block.h,phase2,HEADER_VIA_TU,-2,0.0,0,
lib/phase2/include/astro/phase2/coverage.h,phase2,HEADER_VIA_TU,-2,0.0,0,
lib/phase2/include/astro/phase2/integrate.h,phase2,HEADER_VIA_TU,-2,0.0,0,
lib/phase2/include/astro/phase2/rejection.h,phase2,HEADER_VIA_TU,-2,0.0,0,
lib/phase2/include/astro/phase2/sampler.h,phase2,HEADER_VIA_TU,-2,0.0,0,
lib/phase2/include/astro/phase2/stage2_common.h,phase2,HEADER_VIA_TU,-2,0.0,0,
lib/phase2/include/astro/phase2/upm.h,phase2,HEADER_VIA_TU,-2,0.0,0,
lib/phase2/src/acr_kernels.cpp,phase2,PASS,0,6.78,0,
lib/phase2/src/block.cpp,phase2,PASS,0,0.62,0,
lib/phase2/src/coverage.cpp,phase2,PASS,0,4.56,0,
lib/phase2/src/integrate.cpp,phase2,PASS,0,0.37,0,
lib/phase2/src/rejection.cpp,phase2,PASS,0,16.53,0,
lib/phase2/src/sampler.cpp,phase2,PASS,0,8.11,0,
lib/phase2/src/stage2_common.cpp,phase2,PASS,0,5.83,0,
lib/phase2/src/upm.cpp,phase2,PASS,0,27.75,0,
lib/photometric_calib/cpp/include/log_macros.h,photometric_calib,HEADER_VIA_TU,-2,0.0,0,
lib/photometric_calib/cpp/include/photometric_calib.h,photometric_calib,HEADER_VIA_TU,-2,0.0,0,
lib/photometric_calib/cpp/src/image_corrector.cpp,photometric_calib,PASS,0,4.13,0,
lib/photometric_calib/cpp/src/image_corrector.h,photometric_calib,HEADER_VIA_TU,-2,0.0,0,
lib/photometric_calib/cpp/src/pc_api.cpp,photometric_calib,PASS,0,3.89,0,
lib/photometric_calib/cpp/src/spectrum_integrator.cpp,photometric_calib,PASS,0,4.69,0,
lib/photometric_calib/cpp/src/spectrum_integrator.h,photometric_calib,HEADER_VIA_TU,-2,0.0,0,
lib/photometric_calib/cpp/src/star_matcher.cpp,photometric_calib,PASS,0,8.43,0,
lib/photometric_calib/cpp/src/star_matcher.h,photometric_calib,HEADER_VIA_TU,-2,0.0,0,
lib/photometric_calib/cpp/src/wcs_transform.cpp,photometric_calib,PASS,0,0.45,0,
lib/photometric_calib/cpp/src/wcs_transform.h,photometric_calib,HEADER_VIA_TU,-2,0.0,0,
lib/photometric_calib/cpp/test/gate4_dr3sp_gaiaxpy/fsyn_export.cpp,photometric_calib,PASS,0,0.69,0,
lib/photometric_calib/cpp/test/test_spectrum_integrator.cpp,photometric_calib,PASS,0,0.84,0,
lib/plate_solve/cpp/ipv/include/ipv_angle.h,plate_solve,HEADER_VIA_TU,-2,0.0,0,
lib/plate_solve/cpp/ipv/include/ipv_api.h,plate_solve,HEADER_VIA_TU,-2,0.0,0,
lib/plate_solve/cpp/ipv/include/ipv_distortion.h,plate_solve,HEADER_VIA_TU,-2,0.0,0,
lib/plate_solve/cpp/ipv/include/ipv_itertrans.h,plate_solve,HEADER_VIA_TU,-2,0.0,0,
lib/plate_solve/cpp/ipv/include/ipv_kvector.h,plate_solve,HEADER_VIA_TU,-2,0.0,0,
