timestamp,working_set_mb,paged_mem_mb,nonpaged_mb
10:30:32.702,4309.12,2480.56,0.16
10:30:32.920,4161.72,2343.11,0.16
10:30:33.137,4023.74,2223.73,0.16
10:30:33.355,3801,1897.81,0.16
10:30:33.567,3687.35,1832.2,0.16
10:30:33.783,3207.86,1540.75,0.16
10:30:33.997,2603.84,1481.22,0.16
10:30:34.214,2385.75,1234.03,0.16
10:30:34.428,2187.32,1040.83,0.16
10:30:34.644,2025.71,880.58,0.16
10:30:34.859,1821.41,661.18,0.16
10:30:35.077,1609.03,421.09,0.16
10:30:35.295,1420.55,232.65,0.16
10:30:35.516,933.97,100.92,0.16
PEAK_WORKING_SET_MB=32642.55
EXIT_CODE=0
